Model,Cluster,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Xception,Modern Architecture,0.8766265651853671,0.8569357877953326,0.996964586846543,0.9216618598487801,0.9738918550355835
InceptionV4,Modern Architecture,0.8809231524674687,0.8625730994152047,0.9949409780775716,0.9240407204385278,0.9403208917515418
ConvNeXt_Base,Modern Architecture,0.9102627056223913,0.8907259882759657,0.9993254637436763,0.9419057458475721,0.9962041354916871
AlexNet,Classical Models,0.9652590228332925,0.9563601099078713,0.9978077571669477,0.9766443839234134,0.9979107563572607
VGG16,Classical Models,0.9705376872084459,0.9624512353706112,0.9984822934232715,0.9801357391160403,0.9989510215449803
resnet50,Modern Architecture,0.9709077517952495,0.9911894273127754,0.9685996454798683,0.9797643442622951,0.9957617518092522
densenet121,Modern Architecture,0.9675934450377462,0.9944954128440368,0.9607495568498354,0.9773312725399279,0.997006707313114
mobilenet_v2,Lightweight Models,0.9617013441355183,0.9957593426981182,0.9513800962268929,0.9730639730639731,0.9962289091449039
shufflenet_v2,Lightweight Models,0.9331614803903517,0.9859078590785908,0.9212458850341859,0.9524806911899464,0.9882969740028822
squeezenet1_0,Lightweight Models,0.8201067943288529,0.8025244299674267,0.9982273993416054,0.8897415641575442,0.974149659166519
mnasnet1_0,Lightweight Models,0.8422021727122077,0.9980670103092784,0.7845024056723221,0.8784914220898908,0.9907634758829598
tf_efficientnet_lite4,Lightweight Models,0.9819554409869269,0.9913243174279153,0.9837933654089643,0.9875444839857651,0.9981877576071976
