Model,Cluster,Accuracy,Precision,Recall,F1-Score,AUC-ROC
AlexNet,Classical Models,0.8135593220338984,0.7802197802197802,0.9726027397260274,0.8658536585365854,0.8932267884322679
ConvNeXt,Modern Architecture,0.8389830508474576,0.8253012048192772,0.9383561643835616,0.8782051282051282,0.9172754946727549
InceptionV4,Modern Architecture,0.6228813559322034,0.6223175965665236,0.9931506849315068,0.7651715039577837,0.7412100456621004
VGG16,Classical Models,0.7542372881355932,0.7244897959183674,0.9726027397260274,0.8304093567251462,0.9136605783866057
Xception,Modern Architecture,0.6398305084745762,0.6355555555555555,0.9794520547945206,0.77088948787062,0.7593987823439878
densenet121,Modern Architecture,0.7161016949152542,0.7724137931034483,0.7671232876712328,0.7697594501718213,0.7426179604261796
mnasnet1_0,Lightweight Models,0.5084745762711864,0.96875,0.21232876712328766,0.34831460674157305,0.7308980213089802
mobilenet_v2,Lightweight Models,0.4449152542372881,0.7777777777777778,0.14383561643835616,0.24277456647398843,0.623744292237443
resnet50,Modern Architecture,0.326271186440678,0.38596491228070173,0.1506849315068493,0.21674876847290642,0.28112633181126334
shufflenet_v2,Lightweight Models,0.4025423728813559,1.0,0.03424657534246575,0.06622516556291391,0.7980974124809741
squeezenet1_0,Lightweight Models,0.6228813559322034,0.6212765957446809,1.0,0.7664041994750657,0.9091324200913242
tf_efficientnet_lite4,Lightweight Models,0.6949152542372882,0.8425925925925926,0.6232876712328768,0.7165354330708661,0.775951293759513
